"sample_name","mean_n","mean_p","type","sample_id","type2","mean_coding","mean_coding_p","mean_est_syn","mean_est_nonsyn"
"B_1_351_B1",28811,0.963481924890479,"passaged_stock","1_passaged_stock","input_vero",28294,0.96695,9337.02,18674.04
"B_1_351_B2",28584.5,0.955907434036719,"passaged_stock","2_passaged_stock","input_vero",28067.5,0.95925,9262.275,18524.55
"B_1_351_B3",28855.5,0.964970069892653,"passaged_stock","3_passaged_stock","input_vero",28338.5,0.9685,9351.705,18703.41
"B1_351_INPUT_1",28538.5,0.954369126843461,"stock","1_stock","input",28028,0.9579,9249.24,18498.48
"B1_351_INPUT_2",28190,0.942714777781493,"stock","2_stock","input",27674,0.9458,9132.42,18264.84
"B1_351_INPUT_3",28606,0.956626425442263,"stock","3_stock","input",28090,0.96,9269.7,18539.4
"B1_351_INPUT_4",28576.5,0.955639902350935,"stock","4_stock","input",28059.5,0.959,9259.635,18519.27
"isolate_24",28856,0.964986790623014,"isolate","24_isolate","isolate",28339,0.96855,9351.87,18703.74
"isolate_26",28330,0.947396582282714,"isolate","26_isolate","isolate",27838,0.9514,9186.54,18373.08
"isolate_27",28790,0.962779654215296,"isolate","27_isolate","isolate",28273,0.9663,9330.09,18660.18
"isolate_29",28965.5,0.968648630572183,"isolate","29_isolate","isolate",28448.5,0.9723,9388.005,18776.01
"isolate_30",28659,0.958398822860583,"isolate","30_isolate","isolate",28152.5,0.96215,9290.325,18580.65
"KAF_109_21",23809,0.796207738354011,"sample","21_sample","sample",23345,0.79785,7703.85,15407.7
"KAF_109_22",28093,0.939470956091362,"sample","22_sample","sample",27576,0.9424,9100.08,18200.16
"KAF_109_23",27939,0.934320971140019,"sample","23_sample","sample",27422,0.9372,9049.26,18098.52
"KAF_109_24",27235,0.910778182791024,"sample","24_sample","sample",26743,0.91395,8825.19,17650.38
"KAF_109_25",28311.5,0.946777915259339,"sample","25_sample","sample",27794.5,0.94995,9172.185,18344.37
"KAF_109_26",27456.5,0.91818546634117,"sample","26_sample","sample",26958,0.9213,8896.14,17792.28
"KAF_109_27",28938.5,0.967745711132662,"sample","27_sample","sample",28421.5,0.97135,9379.095,18758.19
"KAF_109_28",28472.5,0.952161990435742,"sample","28_sample","sample",27944.5,0.95505,9221.685,18443.37
"KAF_109_29",28995.5,0.969651874393874,"sample","29_sample","sample",28468.5,0.97295,9394.605,18789.21
"KAF_109_30",28715,0.960271544661071,"sample","30_sample","sample",28186.5,0.9633,9301.545,18603.09
"MK_4A_1_RNA_turbinate",27253,0.911380129084038,"turbinate","1_turbinate","input-C57/BL6",26737,0.91375,8823.21,17646.42
"MK_4A_2_RNA_turbinate",26338.5,0.880797913252851,"turbinate","2_turbinate","input-C57/BL6",25867,0.88405,8536.11,17072.22
"MK_4A_3_RNA_turbinate",26402,0.882921446008762,"turbinate","3_turbinate","input-C57/BL6",25930,0.8862,8556.9,17113.8
"MK_4A_4_RNA_turbinate",26370,0.881851319265626,"turbinate","4_turbinate","input-C57/BL6",25898,0.8851,8546.34,17092.68
"MK_4A_5_RNA_turbinate",26247,0.877738019596696,"turbinate","5_turbinate","input-C57/BL6",25784.5,0.8812,8508.885,17017.77
